Date,Month,Year,Volume_Million,Value_Crore
2021-06-01,June,2021,97.807,21837.51
2021-06-02,June,2021,98.137,20668.35
2021-06-03,June,2021,92.8,19629.84
2021-06-04,June,2021,90.824,18987.07
2021-06-05,June,2021,92.12,18465.68
2021-06-06,June,2021,85.062,13881.64
2021-06-07,June,2021,95.853,20566.61
2021-06-08,June,2021,95.949,19555.25
2021-06-09,June,2021,95.932,19616.4
2021-06-10,June,2021,96.068,19826.78
2021-06-11,June,2021,94.841,19013.39
2021-06-12,June,2021,91.484,16646.22
2021-06-13,June,2021,85.165,12899.97
2021-06-14,June,2021,97.372,20359.99
2021-06-15,June,2021,96.859,19631.73
2021-06-16,June,2021,95.888,19341.99
2021-06-17,June,2021,91.454,17975.02
2021-06-18,June,2021,96.815,18847.37
2021-06-19,June,2021,92.337,16946.72
2021-06-20,June,2021,86.158,12949.17
2021-06-21,June,2021,96.774,19694.06
2021-06-22,June,2021,93.782,18529.74
2021-06-23,June,2021,88.608,16920.82
2021-06-24,June,2021,90.121,17171.85
2021-06-25,June,2021,93.525,17648.46
2021-06-26,June,2021,92.318,15638.86
2021-06-27,June,2021,85.353,11945.99
2021-06-28,June,2021,95.751,19199.12
2021-06-29,June,2021,97.164,19122.24
2021-06-30,June,2021,105.195,23855.32
2021-07-01,July,2021,105.235,23416.77
2021-07-02,July,2021,108.15,22773.32
2021-07-03,July,2021,104.452,20784.0
2021-07-04,July,2021,97.948,16400.08
2021-07-05,July,2021,109.22,23601.76
2021-07-06,July,2021,107.724,21426.67
2021-07-07,July,2021,110.038,23158.49
2021-07-08,July,2021,108.632,19593.6
2021-07-09,July,2021,110.288,22376.23
2021-07-10,July,2021,105.33,17381.76
2021-07-11,July,2021,98.862,14528.9
2021-07-12,July,2021,106.977,17865.05
2021-07-13,July,2021,105.496,26954.63
2021-07-14,July,2021,106.977,19870.94
2021-07-15,July,2021,106.823,21013.1
2021-07-16,July,2021,106.786,21440.28
2021-07-17,July,2021,103.017,18400.77
2021-07-18,July,2021,91.512,12743.31
2021-07-19,July,2021,104.952,20635.1
2021-07-20,July,2021,107.812,20476.24
2021-07-21,July,2021,95.491,15421.19
2021-07-22,July,2021,94.738,15711.85
2021-07-23,July,2021,104.729,19889.5
2021-07-24,July,2021,97.807,15607.17
2021-07-25,July,2021,96.795,12927.13
2021-07-26,July,2021,105.106,19885.25
2021-07-27,July,2021,104.066,19262.96
2021-07-28,July,2021,105.626,19325.52
2021-07-29,July,2021,104.444,19154.18
2021-07-30,July,2021,111.752,21272.89
2021-07-31,July,2021,121.03,22584.56
2021-08-01,August,2021,113.983,17991.95
2021-08-02,August,2021,120.232,25029.23
2021-08-03,August,2021,120.077,23649.82
2021-08-04,August,2021,119.128,24030.66
2021-08-05,August,2021,118.341,23718.76
2021-08-06,August,2021,110.522,21095.72
2021-08-07,August,2021,122.245,22910.2
2021-08-08,August,2021,112.774,16658.61
2021-08-09,August,2021,123.51,24086.79
2021-08-10,August,2021,124.703,24240.48
2021-08-11,August,2021,121.833,23627.85
2021-08-12,August,2021,118.733,22704.03
2021-08-13,August,2021,115.284,20953.57
2021-08-14,August,2021,114.781,19317.55
2021-08-15,August,2021,106.292,14679.03
2021-08-16,August,2021,113.705,21637.92
2021-08-17,August,2021,114.532,21311.21
2021-08-18,August,2021,114.179,21660.34
2021-08-19,August,2021,114.87,20696.02
2021-08-20,August,2021,111.508,18706.14
2021-08-21,August,2021,117.35,19530.45
2021-08-22,August,2021,106.053,13242.53
2021-08-23,August,2021,108.596,19805.16
2021-08-24,August,2021,109.723,19853.25
2021-08-25,August,2021,113.974,20927.52
2021-08-26,August,2021,111.396,19824.58
2021-08-27,August,2021,110.601,19367.36
2021-08-28,August,2021,110.81,18119.46
2021-08-29,August,2021,106.733,14334.35
2021-08-30,August,2021,109.165,19281.64
2021-08-31,August,2021,119.913,26124.77
2021-09-01,September,2021,126.106,27148.4
2021-09-02,September,2021,127.666,26154.15
2021-09-03,September,2021,124.5,23910.41
2021-09-04,September,2021,123.738,23834.31
2021-09-05,September,2021,108.895,16861.66
2021-09-06,September,2021,122.117,24922.42
2021-09-07,September,2021,113.979,21864.83
2021-09-08,September,2021,126.405,24634.77
2021-09-09,September,2021,128.419,24770.65
2021-09-10,September,2021,120.937,21030.37
2021-09-11,September,2021,117.88,20129.85
2021-09-12,September,2021,113.616,15950.87
2021-09-13,September,2021,120.556,23212.04
2021-09-14,September,2021,121.427,22629.21
2021-09-15,September,2021,123.998,23442.74
2021-09-16,September,2021,120.165,22094.58
2021-09-17,September,2021,117.223,19888.28
2021-09-18,September,2021,123.849,20854.06
2021-09-19,September,2021,118.192,15698.53
2021-09-20,September,2021,125.269,23232.53
2021-09-21,September,2021,123.081,22157.2
2021-09-22,September,2021,123.79,21821.81
2021-09-23,September,2021,123.223,21377.26
2021-09-24,September,2021,123.665,20872.26
2021-09-25,September,2021,120.495,19085.04
2021-09-26,September,2021,116.82,14906.16
2021-09-27,September,2021,119.904,20756.07
2021-09-28,September,2021,120.882,21099.09
2021-09-29,September,2021,122.377,21981.12
2021-09-30,September,2021,135.122,28327.61
2021-10-01,October,2021,137.77,28370.06
2021-10-02,October,2021,139.113,25337.11
2021-10-03,October,2021,137.267,21845.73
2021-10-04,October,2021,139.385,29292.41
2021-10-05,October,2021,142.994,29189.41
2021-10-06,October,2021,137.162,26288.98
2021-10-07,October,2021,144.68,28676.31
2021-10-08,October,2021,142.183,27623.49
2021-10-09,October,2021,134.63,24747.41
2021-10-10,October,2021,135.989,21201.45
2021-10-11,October,2021,137.829,28260.91
2021-10-12,October,2021,138.867,27223.76
2021-10-13,October,2021,137.647,26037.62
2021-10-14,October,2021,133.418,24029.6
2021-10-15,October,2021,126.871,18158.34
2021-10-16,October,2021,128.528,22054.06
2021-10-17,October,2021,118.511,16615.55
2021-10-18,October,2021,134.786,25795.4
2021-10-19,October,2021,130.954,23136.67
2021-10-20,October,2021,134.832,24614.57
2021-10-21,October,2021,133.033,24809.26
2021-10-22,October,2021,136.07,24402.71
2021-10-23,October,2021,134.399,21969.69
2021-10-24,October,2021,129.421,16990.59
2021-10-25,October,2021,133.198,25923.01
2021-10-26,October,2021,135.028,25081.49
2021-10-27,October,2021,134.127,25168.12
2021-10-28,October,2021,136.127,26359.34
2021-10-29,October,2021,139.184,27747.43
2021-10-30,October,2021,147.709,29919.39
2021-10-31,October,2021,146.932,24537.12
2021-11-01,November,2021,158.765,36035.24
2021-11-02,November,2021,164.375,34915.78
2021-11-03,November,2021,164.769,34613.47
2021-11-04,November,2021,143.481,23307.44
2021-11-05,November,2021,132.601,22719.01
2021-11-06,November,2021,136.253,24416.19
2021-11-07,November,2021,130.927,20543.84
2021-11-08,November,2021,142.344,28222.58
2021-11-09,November,2021,137.906,27462.69
2021-11-10,November,2021,140.376,27572.23
2021-11-11,November,2021,136.969,26145.08
2021-11-12,November,2021,136.332,25519.53
2021-11-13,November,2021,137.709,23325.29
2021-11-14,November,2021,134.494,18867.22
2021-11-15,November,2021,137.307,27088.45
2021-11-16,November,2021,138.159,27011.12
2021-11-17,November,2021,139.378,25755.18
2021-11-18,November,2021,134.821,25291.94
2021-11-19,November,2021,133.907,21545.81
2021-11-20,November,2021,138.715,24225.89
2021-11-21,November,2021,131.39,18070.98
2021-11-22,November,2021,133.85,25248.75
2021-11-23,November,2021,138.853,25616.77
2021-11-24,November,2021,137.403,25221.2
2021-11-25,November,2021,139.249,25459.92
2021-11-26,November,2021,137.568,25509.28
2021-11-27,November,2021,134.241,22251.27
2021-11-28,November,2021,129.628,17817.14
2021-11-29,November,2021,136.941,26386.44
2021-11-30,November,2021,147.769,32270.36
2021-12-01,December,2021,153.104,33487.99
2021-12-02,December,2021,152.43,31446.32
2021-12-03,December,2021,148.012,28800.98
2021-12-04,December,2021,154.254,29534.27
2021-12-05,December,2021,147.836,23634.62
2021-12-06,December,2021,148.874,30143.74
2021-12-07,December,2021,153.597,30111.47
2021-12-08,December,2021,151.003,28889.73
2021-12-09,December,2021,145.273,27977.02
2021-12-10,December,2021,138.276,25540.08
2021-12-11,December,2021,145.098,25827.58
2021-12-12,December,2021,139.211,20023.23
2021-12-13,December,2021,140.712,26943.56
2021-12-14,December,2021,148.481,28016.55
2021-12-15,December,2021,151.254,28838.73
2021-12-16,December,2021,145.696,26447.76
2021-12-17,December,2021,146.115,24999.17
2021-12-18,December,2021,145.123,24668.99
2021-12-19,December,2021,140.214,19087.16
2021-12-20,December,2021,148.936,29184.65
2021-12-21,December,2021,146.781,27086.37
2021-12-22,December,2021,148.994,26892.86
2021-12-23,December,2021,149.464,26454.72
2021-12-24,December,2021,149.12,25817.61
2021-12-25,December,2021,144.892,22122.87
2021-12-26,December,2021,135.726,17623.74
2021-12-27,December,2021,143.637,26037.07
2021-12-28,December,2021,144.559,26113.2
2021-12-29,December,2021,142.078,25271.47
2021-12-30,December,2021,149.152,27540.86
2021-12-31,December,2021,168.397,32283.86
2022-01-01,January,2022,158.527,27278.48
2022-01-02,January,2022,153.166,24750.74
2022-01-03,January,2022,161.487,32979.67
2022-01-04,January,2022,159.501,32214.37
2022-01-05,January,2022,159.171,31730.45
2022-01-06,January,2022,158.944,30771.67
2022-01-07,January,2022,162.133,30569.5
2022-01-08,January,2022,154.707,26520.13
2022-01-09,January,2022,121.296,18265.68
2022-01-10,January,2022,165.053,33273.67
2022-01-11,January,2022,156.323,30052.59
2022-01-12,January,2022,159.055,30181.55
2022-01-13,January,2022,156.506,28747.57
2022-01-14,January,2022,144.509,23852.4
2022-01-15,January,2022,137.8,21970.51
2022-01-16,January,2022,131.122,18000.91
2022-01-17,January,2022,148.762,27641.24
2022-01-18,January,2022,146.503,26732.97
2022-01-19,January,2022,150.162,27400.76
2022-01-20,January,2022,145.93,27092.83
2022-01-21,January,2022,147.74,26652.65
2022-01-22,January,2022,142.239,23272.13
