Date,Month,Year,Volume_Million,Value_Crore,Month Name,Quarter,Day,Week,Weekday,Day Number,Day Type,Financial Year
2021-06-01,6,2021,97.807,21837.51,June,2,1,22,Tuesday,1,Weekday,2021-2022
2021-06-02,6,2021,98.137,20668.35,June,2,2,22,Wednesday,2,Weekday,2021-2022
2021-06-03,6,2021,92.8,19629.84,June,2,3,22,Thursday,3,Weekday,2021-2022
2021-06-04,6,2021,90.824,18987.07,June,2,4,22,Friday,4,Weekday,2021-2022
2021-06-05,6,2021,92.12,18465.68,June,2,5,22,Saturday,5,Weekend,2021-2022
2021-06-06,6,2021,85.062,13881.64,June,2,6,22,Sunday,6,Weekend,2021-2022
2021-06-07,6,2021,95.853,20566.61,June,2,7,23,Monday,0,Weekday,2021-2022
2021-06-08,6,2021,95.949,19555.25,June,2,8,23,Tuesday,1,Weekday,2021-2022
2021-06-09,6,2021,95.932,19616.4,June,2,9,23,Wednesday,2,Weekday,2021-2022
2021-06-10,6,2021,96.068,19826.78,June,2,10,23,Thursday,3,Weekday,2021-2022
2021-06-11,6,2021,94.841,19013.39,June,2,11,23,Friday,4,Weekday,2021-2022
2021-06-12,6,2021,91.484,16646.22,June,2,12,23,Saturday,5,Weekend,2021-2022
2021-06-13,6,2021,85.165,12899.97,June,2,13,23,Sunday,6,Weekend,2021-2022
2021-06-14,6,2021,97.372,20359.99,June,2,14,24,Monday,0,Weekday,2021-2022
2021-06-15,6,2021,96.859,19631.73,June,2,15,24,Tuesday,1,Weekday,2021-2022
2021-06-16,6,2021,95.888,19341.99,June,2,16,24,Wednesday,2,Weekday,2021-2022
2021-06-17,6,2021,91.454,17975.02,June,2,17,24,Thursday,3,Weekday,2021-2022
2021-06-18,6,2021,96.815,18847.37,June,2,18,24,Friday,4,Weekday,2021-2022
2021-06-19,6,2021,92.337,16946.72,June,2,19,24,Saturday,5,Weekend,2021-2022
2021-06-20,6,2021,86.158,12949.17,June,2,20,24,Sunday,6,Weekend,2021-2022
2021-06-21,6,2021,96.774,19694.06,June,2,21,25,Monday,0,Weekday,2021-2022
2021-06-22,6,2021,93.782,18529.74,June,2,22,25,Tuesday,1,Weekday,2021-2022
2021-06-23,6,2021,88.608,16920.82,June,2,23,25,Wednesday,2,Weekday,2021-2022
